,id,Median_HHI,state_code,county_code
5354,0500000US40053,56287,40,53
5355,0500000US40055,38322,40,55
5356,0500000US40057,41607,40,57
5357,0500000US40059,50114,40,59
5358,0500000US40061,39375,40,61
5359,0500000US40063,39265,40,63
5360,0500000US40065,45757,40,65
5361,0500000US40067,37319,40,67
5362,0500000US40069,40077,40,69
5363,0500000US40071,45426,40,71
5364,0500000US40073,60656,40,73
5365,0500000US40075,38209,40,75
5366,0500000US40077,42363,40,77
5367,0500000US40079,39769,40,79
5368,0500000US40081,49362,40,81
5369,0500000US40083,62035,40,83
5370,0500000US40085,52007,40,85
5371,0500000US40087,64492,40,87
5372,0500000US40089,35829,40,89
5373,0500000US40091,37086,40,91
5374,0500000US40093,54118,40,93
5375,0500000US40095,45828,40,95
5376,0500000US40097,48853,40,97
5377,0500000US40099,51490,40,99
5378,0500000US40101,42689,40,101
5379,0500000US40103,53253,40,103
5380,0500000US40105,41895,40,105
5381,0500000US40107,38527,40,107
5382,0500000US40109,52855,40,109
5383,0500000US40111,42175,40,111
5384,0500000US40113,47789,40,113
5385,0500000US40115,39070,40,115
5386,0500000US40117,47413,40,117
5387,0500000US40119,40944,40,119
5388,0500000US40121,45346,40,121
5389,0500000US40123,49235,40,123
5390,0500000US40125,47683,40,125
5391,0500000US40127,37457,40,127
5392,0500000US40129,47667,40,129
5393,0500000US40131,62949,40,131
5394,0500000US40133,38706,40,133
5395,0500000US40135,38328,40,135
5396,0500000US40137,46166,40,137
5397,0500000US40139,50450,40,139
5398,0500000US40141,40462,40,141
5399,0500000US40143,53902,40,143
5400,0500000US40145,61566,40,145
5401,0500000US40147,52103,40,147
5402,0500000US40149,52510,40,149
5403,0500000US40151,56899,40,151
5404,0500000US40153,58706,40,153
5405,0500000US41001,43921,41,1
5406,0500000US41003,58655,41,3
5407,0500000US41005,76597,41,5
5408,0500000US41007,52583,41,7
5409,0500000US41009,59714,41,9
5410,0500000US41011,43308,41,11
5411,0500000US41013,44524,41,13
5412,0500000US41015,46396,41,15
