Diversity-Index,BLK_Percent,Amrican_indian/Alk_native_Percent,Asian_percent,Hawaiian/Pacific_Islander_Percent,Two_or_more_percent,His/Latino_Percent,white_percent,County,Code,Year,State
0.512421,4.2,1.9,0.8,0.3,1.2,32.9,61.4,Dawson County,NE,2013,Nebraska
0.512362,38.2,0.1,0.8,0.0,0.8,2.3,58.4,Taylor County,GA,2013,Georgia
0.512312,26.6,0.5,1.5,0.2,1.7,6.5,64.2,Glynn County,GA,2013,Georgia
0.5122899999999999,1.1,19.2,0.7,1.1,7.7,4.9,66.5,Ottawa County,OK,2013,Oklahoma
0.512089,5.3,3.5,0.5,0.2,1.8,29.0,63.2,Echols County,GA,2013,Georgia
0.5119819999999999,34.4,0.5,0.6,0.2,1.2,3.2,60.7,Chowan County,NC,2013,North Carolina
0.511588,1.2,1.1,0.7,0.1,1.2,56.7,40.8,Hidalgo County,NM,2013,New Mexico
0.510927,58.4,0.6,0.2,0.0,1.1,2.0,38.4,Northampton County,NC,2013,North Carolina
0.5109229999999999,0.4,1.4,0.6,0.0,1.3,43.4,54.8,Harding County,NM,2013,New Mexico
0.510528,1.4,1.9,0.2,0.1,1.9,37.0,59.3,Sterling County,TX,2013,Texas
0.51051,40.4,0.4,0.3,0.0,0.8,1.2,57.1,Concordia Parish,LA,2013,Louisiana
0.5104890000000001,27.9,0.5,1.5,0.1,1.7,5.3,63.9,SOUTH CAROLINA,,2013,
0.510463,22.8,0.9,3.0,0.2,3.0,5.2,65.8,Escambia County,FL,2013,Florida
0.510336,0.8,2.1,0.7,0.0,0.5,54.6,43.7,Edwards County,TX,2013,Texas
0.510092,58.8,0.3,0.3,0.0,1.2,1.9,37.9,Fairfield County,SC,2013,South Carolina
0.51002,61.4,0.5,0.5,0.3,1.0,4.4,33.3,Calhoun County,GA,2013,Georgia
0.510019,3.1,1.5,0.6,0.3,1.5,35.0,60.5,Morgan County,CO,2013,Colorado
0.5100180000000001,19.0,0.3,1.7,0.0,1.2,65.6,15.2,Miami-Dade County,FL,2013,Florida
